seed,policy,fault,severity,A_f,unique_absorption,threshold_crossings,veto_rate,mean_speed,failure_status,validity
20260740,P2,speed_bias,3.0 m/s,L1,False,3,0.650000,3.4381,ok,VALID
20260740,P2,lateral_noise,sigma x25,L7,False,2,0.850000,3.7035,ok,VALID
20260741,P2,imu_dropout,suppress IMU,L8,True,1,0.657500,3.4581,ok,VALID
20260741,P2,position_bias,1.0 m,L2a,True,1,0.815000,3.9767,ok,INVALID
20260741,P2,position_drift,2.0 m final,L2a,True,1,0.815000,3.9767,ok,INVALID
20260741,P2,speed_stuck,hold,L2b,False,3,0.632500,3.4581,ok,VALID
20260741,P2,speed_bias,3.0 m/s,L2a,False,3,0.620000,3.6195,ok,VALID
20260741,P2,lateral_noise,sigma x25,L7,True,1,0.865000,3.5486,ok,VALID
20260742,P2,imu_dropout,suppress IMU,,False,0,0.817500,4.2487,ok,VALID
20260742,P2,position_bias,1.0 m,L2a,True,1,0.620000,5.9902,ok,INVALID
20260742,P2,position_drift,2.0 m final,L2a,True,1,0.620000,5.9902,ok,INVALID
20260742,P2,speed_stuck,hold,L2b,False,3,0.642500,11.3289,ok,VALID
20260742,P2,speed_bias,3.0 m/s,L1,True,0,0.622500,4.5175,ok,VALID
20260742,P2,lateral_noise,sigma x25,,False,0,0.815000,4.0122,ok,VALID
20260743,P2,imu_dropout,suppress IMU,L6,True,1,0.927500,2.6435,ok,VALID
20260743,P2,position_bias,1.0 m,L2a,True,1,0.927500,2.6516,ok,INVALID
20260743,P2,position_drift,2.0 m final,L2a,True,1,0.927500,2.6516,ok,INVALID
20260743,P2,speed_stuck,hold,L2a,False,3,0.927500,2.6435,ok,VALID
20260743,P2,speed_bias,3.0 m/s,L2b,False,3,0.752500,2.6435,ok,VALID
20260743,P2,lateral_noise,sigma x25,L2b,False,3,0.927500,2.6516,ok,VALID
20260744,P2,imu_dropout,suppress IMU,L7,True,1,0.977500,2.4235,ok,VALID
20260744,P2,position_bias,1.0 m,L2a,True,1,0.977500,2.4275,ok,INVALID
20260744,P2,position_drift,2.0 m final,L2a,True,1,0.977500,2.4275,ok,INVALID
20260744,P2,speed_stuck,hold,L6,True,1,0.977500,4.0337,ok,VALID
20260744,P2,speed_bias,3.0 m/s,L2a,False,3,0.830000,2.4235,ok,VALID
20260744,P2,lateral_noise,sigma x25,L2b,False,3,0.977500,2.4307,ok,VALID
20260745,P2,imu_dropout,suppress IMU,L6,True,1,0.925000,2.8194,ok,VALID
20260745,P2,position_bias,1.0 m,L2a,True,1,0.925000,2.8235,ok,INVALID
20260745,P2,position_drift,2.0 m final,L2a,True,1,0.925000,2.8235,ok,INVALID
20260745,P2,speed_stuck,hold,L2b,False,3,0.925000,2.8194,ok,VALID
20260745,P2,speed_bias,3.0 m/s,L2a,False,3,0.722500,2.8194,ok,VALID
20260745,P2,lateral_noise,sigma x25,L2b,False,3,0.925000,2.8235,ok,VALID
20260746,P2,imu_dropout,suppress IMU,L2b,False,4,0.685000,4.2830,ok,VALID
20260746,P2,position_bias,1.0 m,L2a,True,1,0.650000,5.7835,ok,INVALID
20260746,P2,position_drift,2.0 m final,L2a,True,1,0.650000,5.7835,ok,INVALID
20260746,P2,speed_stuck,hold,L2b,False,3,0.642500,10.9070,ok,VALID
20260746,P2,speed_bias,3.0 m/s,L1,True,0,0.647500,4.3752,ok,VALID
20260746,P2,lateral_noise,sigma x25,L2b,False,2,0.850000,3.7575,ok,VALID
20260747,P2,imu_dropout,suppress IMU,L7,True,1,0.967500,2.2173,ok,VALID
20260747,P2,position_bias,1.0 m,L2a,True,1,0.967500,2.2215,ok,INVALID
20260747,P2,position_drift,2.0 m final,L2a,True,1,0.967500,2.2215,ok,INVALID
20260747,P2,speed_stuck,hold,L2b,False,3,0.967500,2.2173,ok,VALID
20260747,P2,speed_bias,3.0 m/s,L2a,False,3,0.800000,2.2173,ok,VALID
20260747,P2,lateral_noise,sigma x25,L2b,False,3,0.965000,2.2267,ok,VALID
20260748,P2,imu_dropout,suppress IMU,L7,True,1,0.947500,4.4010,ok,VALID
20260748,P2,position_bias,1.0 m,L2a,True,1,0.947500,2.7833,ok,INVALID
20260748,P2,position_drift,2.0 m final,L2a,True,1,0.947500,2.7833,ok,INVALID
20260748,P2,speed_stuck,hold,L2b,False,3,0.947500,2.7785,ok,VALID
20260748,P2,speed_bias,3.0 m/s,L2a,False,3,0.785000,2.7785,ok,VALID
20260748,P2,lateral_noise,sigma x25,L2b,False,3,0.947500,2.7876,ok,VALID
20260749,P2,imu_dropout,suppress IMU,L7,True,1,0.872500,3.5407,ok,VALID
20260749,P2,position_bias,1.0 m,L2a,True,1,0.867500,3.5454,ok,INVALID
20260749,P2,position_drift,2.0 m final,L2a,True,1,0.867500,3.5454,ok,INVALID
20260749,P2,speed_stuck,hold,L2b,False,3,0.645000,3.5408,ok,VALID
20260749,P2,speed_bias,3.0 m/s,L8,True,1,0.657500,3.5239,ok,VALID
20260749,P2,lateral_noise,sigma x25,L7,True,1,0.857500,3.5532,ok,VALID
20260750,P2,imu_dropout,suppress IMU,L7,True,1,0.882500,3.2298,ok,VALID
20260750,P2,position_bias,1.0 m,L2a,True,1,0.882500,3.2344,ok,INVALID
20260750,P2,position_drift,2.0 m final,L2a,True,1,0.882500,3.2344,ok,INVALID
20260750,P2,speed_stuck,hold,L2b,False,3,0.670000,3.2298,ok,VALID
20260750,P2,speed_bias,3.0 m/s,L2b,False,3,0.680000,3.2298,ok,VALID
20260750,P2,lateral_noise,sigma x25,L2b,False,3,0.882500,3.2344,ok,VALID
20260751,P2,imu_dropout,suppress IMU,L2b,False,3,0.927500,2.6586,ok,VALID
20260751,P2,position_bias,1.0 m,L2a,True,1,0.927500,2.6630,ok,INVALID
20260751,P2,position_drift,2.0 m final,L2a,True,1,0.927500,2.6630,ok,INVALID
20260751,P2,speed_stuck,hold,L1,False,4,0.927500,2.6586,ok,VALID
20260751,P2,speed_bias,3.0 m/s,L2a,False,3,0.715000,2.6586,ok,VALID
20260751,P2,lateral_noise,sigma x25,L2b,False,3,0.927500,2.6649,ok,VALID
20260752,P2,imu_dropout,suppress IMU,L2a,False,3,0.957500,2.5669,ok,VALID
20260752,P2,position_bias,1.0 m,L2a,True,1,0.957500,2.5728,ok,INVALID
20260752,P2,position_drift,2.0 m final,L2a,True,1,0.957500,2.5728,ok,INVALID
20260752,P2,speed_stuck,hold,L1,False,4,0.957500,2.5669,ok,VALID
